freq,EMA_S,EMA_L,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,23006.0,0.09,4.739,-4.739,-4.649,546807.0
5.0,10.0,40.0,19914.0,0.069,4.739,-4.739,-4.67,546807.0
5.0,10.0,50.0,17700.0,0.064,4.739,-4.739,-4.675,546807.0
5.0,15.0,30.0,18428.0,0.127,4.739,-4.739,-4.612,546807.0
5.0,15.0,40.0,15838.0,0.121,4.739,-4.739,-4.618,546807.0
5.0,15.0,50.0,14130.0,0.205,4.739,-4.739,-4.534,546807.0
15.0,10.0,30.0,7404.0,1.346,4.739,-4.738,-3.393,182274.0
15.0,10.0,40.0,6206.0,3.924,4.739,-4.731,-0.815,182274.0
15.0,10.0,50.0,5522.0,2.012,4.739,-4.731,-2.727,182274.0
15.0,15.0,30.0,5866.0,3.624,4.739,-4.729,-1.115,182274.0
15.0,15.0,40.0,5038.0,2.771,4.739,-4.721,-1.968,182274.0
15.0,15.0,50.0,4346.0,2.995,4.739,-4.7,-1.744,182274.0
25.0,10.0,30.0,4210.0,4.578,4.696,-4.628,-0.118,109390.0
25.0,10.0,40.0,3604.0,3.474,4.696,-4.601,-1.222,109390.0
25.0,10.0,50.0,3188.0,4.215,4.696,-4.522,-0.481,109390.0
25.0,15.0,30.0,3406.0,5.9,4.696,-4.5,1.204,109390.0
25.0,15.0,40.0,2924.0,7.201,4.696,-4.309,2.505,109390.0
25.0,15.0,50.0,2566.0,6.403,4.696,-4.204,1.707,109390.0
35.0,10.0,30.0,3018.0,4.18,4.686,-4.482,-0.506,78141.0
35.0,10.0,40.0,2544.0,5.194,4.686,-4.278,0.508,78141.0
35.0,10.0,50.0,2192.0,7.578,4.686,-3.84,2.892,78141.0
35.0,15.0,30.0,2388.0,4.843,4.686,-4.241,0.157,78141.0
35.0,15.0,40.0,2022.0,6.339,4.686,-3.847,1.653,78141.0
35.0,15.0,50.0,1782.0,11.466,4.686,-2.756,6.78,78141.0
45.0,10.0,30.0,2294.0,7.916,4.675,-3.877,3.241,60778.0
45.0,10.0,40.0,1896.0,10.616,4.675,-3.081,5.941,60778.0
45.0,10.0,50.0,1646.0,12.042,4.675,-2.353,7.367,60778.0
45.0,15.0,30.0,1806.0,12.777,4.675,-2.576,8.102,60778.0
45.0,15.0,40.0,1538.0,18.199,4.675,-0.766,13.524,60778.0
45.0,15.0,50.0,1334.0,21.96,4.675,1.11,17.285,60778.0
55.0,10.0,30.0,1846.0,7.169,4.676,-3.544,2.493,49740.0
55.0,10.0,40.0,1554.0,15.655,4.676,-1.367,10.979,49740.0
55.0,10.0,50.0,1340.0,20.438,4.676,0.676,15.762,49740.0
55.0,15.0,30.0,1480.0,11.612,4.676,-2.033,6.936,49740.0
55.0,15.0,40.0,1224.0,22.107,4.676,1.825,17.431,49740.0
55.0,15.0,50.0,1042.0,29.571,4.676,5.755,24.895,49740.0
65.0,10.0,30.0,1540.0,16.459,4.674,-1.145,11.785,42091.0
65.0,10.0,40.0,1266.0,16.161,4.674,-0.117,11.487,42091.0
65.0,10.0,50.0,1104.0,18.165,4.674,1.349,13.491,42091.0
65.0,15.0,30.0,1216.0,17.94,4.674,0.644,13.266,42091.0
65.0,15.0,40.0,996.0,24.45,4.674,4.357,19.776,42091.0
65.0,15.0,50.0,846.0,30.689,4.674,8.496,26.015,42091.0
75.0,10.0,30.0,1276.0,21.908,4.675,1.441,17.233,36482.0
75.0,10.0,40.0,1056.0,31.513,4.675,6.287,26.838,36482.0
75.0,10.0,50.0,900.0,26.267,4.675,6.005,21.592,36482.0
75.0,15.0,30.0,992.0,35.719,4.675,8.571,31.044,36482.0
75.0,15.0,40.0,838.0,22.28,4.675,4.963,17.605,36482.0
75.0,15.0,50.0,732.0,32.666,4.675,11.036,27.991,36482.0
85.0,10.0,30.0,1102.0,29.61,4.697,5.14,24.913,32194.0
85.0,10.0,40.0,922.0,20.998,4.697,3.654,16.301,32194.0
85.0,10.0,50.0,774.0,27.812,4.697,8.129,23.115,32194.0
85.0,15.0,30.0,866.0,24.387,4.697,5.561,19.69,32194.0
85.0,15.0,40.0,730.0,26.602,4.697,8.123,21.905,32194.0
85.0,15.0,50.0,658.0,20.247,4.697,5.789,15.55,32194.0
95.0,10.0,30.0,958.0,25.999,4.695,5.28,21.304,28808.0
95.0,10.0,40.0,816.0,21.862,4.695,4.972,17.167,28808.0
95.0,10.0,50.0,710.0,22.209,4.695,6.224,17.514,28808.0
95.0,15.0,30.0,776.0,25.552,4.695,7.065,20.857,28808.0
95.0,15.0,40.0,664.0,26.568,4.695,8.982,21.873,28808.0
95.0,15.0,50.0,602.0,17.588,4.695,4.938,12.893,28808.0
105.0,10.0,30.0,854.0,30.058,4.663,8.133,25.395,26064.0
105.0,10.0,40.0,732.0,28.615,4.663,9.099,23.952,26064.0
105.0,10.0,50.0,668.0,31.48,4.663,11.478,26.817,26064.0
105.0,15.0,30.0,722.0,24.576,4.663,7.276,19.913,26064.0
105.0,15.0,40.0,628.0,23.091,4.663,7.659,18.428,26064.0
105.0,15.0,50.0,542.0,19.403,4.663,6.621,14.74,26064.0
115.0,10.0,30.0,784.0,21.672,4.718,5.177,16.954,23800.0
115.0,10.0,40.0,656.0,33.989,4.718,12.92,29.271,23800.0
115.0,10.0,50.0,618.0,13.119,4.718,2.353,8.401,23800.0
115.0,15.0,30.0,650.0,24.629,4.718,8.139,19.911,23800.0
115.0,15.0,40.0,556.0,21.093,4.718,7.379,16.375,23800.0
115.0,15.0,50.0,516.0,17.644,4.718,5.814,12.926,23800.0
