freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,23154.0,0.254,4.739,-4.739,-4.485,546807.0
5.0,10.0,40.0,18842.0,0.364,4.739,-4.739,-4.375,546807.0
5.0,10.0,50.0,16180.0,0.831,4.739,-4.739,-3.908,546807.0
5.0,15.0,30.0,21934.0,0.055,4.739,-4.739,-4.684,546807.0
5.0,15.0,40.0,16970.0,0.19,4.739,-4.739,-4.549,546807.0
5.0,15.0,50.0,14126.0,0.61,4.739,-4.739,-4.129,546807.0
5.0,20.0,30.0,23340.0,0.018,4.739,-4.739,-4.721,546807.0
5.0,20.0,40.0,16672.0,0.088,4.739,-4.739,-4.651,546807.0
5.0,20.0,50.0,13328.0,0.592,4.739,-4.739,-4.147,546807.0
5.0,25.0,30.0,29836.0,0.021,4.739,-4.739,-4.718,546807.0
5.0,25.0,40.0,17076.0,0.064,4.739,-4.739,-4.675,546807.0
5.0,25.0,50.0,13118.0,0.877,4.739,-4.739,-3.862,546807.0
15.0,10.0,30.0,7674.0,0.622,4.739,-4.739,-4.117,182274.0
15.0,10.0,40.0,6245.0,1.983,4.739,-4.735,-2.756,182274.0
15.0,10.0,50.0,5265.0,3.888,4.739,-4.719,-0.851,182274.0
15.0,15.0,30.0,7380.0,0.667,4.739,-4.739,-4.072,182274.0
15.0,15.0,40.0,5705.0,2.026,4.739,-4.732,-2.713,182274.0
15.0,15.0,50.0,4717.0,3.004,4.739,-4.712,-1.735,182274.0
15.0,20.0,30.0,7836.0,0.464,4.739,-4.739,-4.275,182274.0
15.0,20.0,40.0,5583.0,0.608,4.739,-4.737,-4.131,182274.0
15.0,20.0,50.0,4513.0,1.328,4.739,-4.724,-3.411,182274.0
15.0,25.0,30.0,9882.0,0.3,4.739,-4.739,-4.439,182274.0
15.0,25.0,40.0,5633.0,0.841,4.739,-4.736,-3.898,182274.0
15.0,25.0,50.0,4379.0,1.749,4.739,-4.717,-2.99,182274.0
25.0,10.0,30.0,4577.0,3.207,4.696,-4.663,-1.489,109390.0
25.0,10.0,40.0,3606.0,4.814,4.696,-4.565,0.118,109390.0
25.0,10.0,50.0,3046.0,12.558,4.696,-4.099,7.862,109390.0
25.0,15.0,30.0,4393.0,1.582,4.696,-4.676,-3.114,109390.0
