freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,21702.0,0.009,0.247,-0.247,-0.238,513220.0
5.0,10.0,40.0,17632.0,0.005,0.247,-0.247,-0.242,513220.0
5.0,10.0,50.0,15120.0,0.012,0.247,-0.247,-0.235,513220.0
5.0,15.0,30.0,20580.0,0.002,0.247,-0.247,-0.245,513220.0
5.0,15.0,40.0,15856.0,0.003,0.247,-0.247,-0.244,513220.0
5.0,15.0,50.0,13344.0,0.005,0.247,-0.247,-0.242,513220.0
5.0,20.0,30.0,21998.0,0.0,0.247,-0.247,-0.247,513220.0
5.0,20.0,40.0,15464.0,0.002,0.247,-0.247,-0.245,513220.0
5.0,20.0,50.0,12546.0,0.01,0.247,-0.247,-0.237,513220.0
5.0,25.0,30.0,27986.0,0.002,0.247,-0.247,-0.245,513220.0
5.0,25.0,40.0,16002.0,0.001,0.247,-0.247,-0.246,513220.0
5.0,25.0,50.0,12304.0,0.008,0.247,-0.247,-0.239,513220.0
15.0,10.0,30.0,7142.0,0.08,0.246,-0.246,-0.166,171077.0
15.0,10.0,40.0,5736.0,0.07,0.246,-0.246,-0.176,171077.0
15.0,10.0,50.0,4899.0,0.195,0.246,-0.245,-0.051,171077.0
15.0,15.0,30.0,6841.0,0.029,0.246,-0.246,-0.217,171077.0
15.0,15.0,40.0,5187.0,0.044,0.246,-0.246,-0.202,171077.0
15.0,15.0,50.0,4319.0,0.228,0.246,-0.243,-0.018,171077.0
15.0,20.0,30.0,7137.0,0.058,0.246,-0.246,-0.188,171077.0
15.0,20.0,40.0,5099.0,0.17,0.246,-0.245,-0.076,171077.0
15.0,20.0,50.0,4089.0,0.204,0.246,-0.243,-0.042,171077.0
15.0,25.0,30.0,9129.0,0.052,0.246,-0.246,-0.194,171077.0
15.0,25.0,40.0,5245.0,0.253,0.246,-0.245,0.007,171077.0
15.0,25.0,50.0,4013.0,0.236,0.246,-0.242,-0.01,171077.0
25.0,10.0,30.0,4197.0,0.273,0.246,-0.242,0.027,102669.0
25.0,10.0,40.0,3423.0,0.465,0.246,-0.231,0.219,102669.0
25.0,10.0,50.0,2829.0,1.4,0.246,-0.163,1.154,102669.0
25.0,15.0,30.0,3953.0,0.436,0.246,-0.238,0.19,102669.0
25.0,15.0,40.0,3041.0,1.006,0.246,-0.198,0.76,102669.0
25.0,15.0,50.0,2549.0,0.867,0.246,-0.178,0.621,102669.0
25.0,20.0,30.0,4289.0,0.415,0.246,-0.24,0.169,102669.0
25.0,20.0,40.0,2939.0,0.676,0.246,-0.21,0.43,102669.0
25.0,20.0,50.0,2389.0,1.116,0.246,-0.144,0.87,102669.0
25.0,25.0,30.0,5303.0,0.703,0.246,-0.243,0.457,102669.0
25.0,25.0,40.0,3083.0,0.557,0.246,-0.22,0.311,102669.0
25.0,25.0,50.0,2333.0,0.872,0.246,-0.161,0.626,102669.0
35.0,10.0,30.0,2955.0,0.543,0.247,-0.219,0.296,73345.0
35.0,10.0,40.0,2353.0,1.896,0.247,-0.067,1.649,73345.0
35.0,10.0,50.0,2045.0,0.67,0.247,-0.16,0.423,73345.0
