freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,19946.0,0.234,0.357,-0.357,-0.123,474156.0
5.0,10.0,40.0,16078.0,0.227,0.357,-0.357,-0.13,474156.0
5.0,10.0,50.0,13812.0,0.448,0.357,-0.357,0.091,474156.0
5.0,15.0,30.0,19024.0,0.082,0.357,-0.357,-0.275,474156.0
5.0,15.0,40.0,14658.0,0.129,0.357,-0.357,-0.228,474156.0
5.0,15.0,50.0,12186.0,0.891,0.357,-0.357,0.534,474156.0
5.0,20.0,30.0,20120.0,0.009,0.357,-0.357,-0.348,474156.0
5.0,20.0,40.0,14270.0,0.152,0.357,-0.357,-0.205,474156.0
5.0,20.0,50.0,11498.0,0.352,0.357,-0.357,-0.005,474156.0
5.0,25.0,30.0,25518.0,0.018,0.357,-0.357,-0.339,474156.0
5.0,25.0,40.0,14720.0,0.138,0.357,-0.357,-0.219,474156.0
5.0,25.0,50.0,11304.0,1.211,0.357,-0.357,0.854,474156.0
15.0,10.0,30.0,6600.0,0.903,0.361,-0.36,0.542,158054.0
15.0,10.0,40.0,5350.0,0.76,0.361,-0.357,0.399,158054.0
15.0,10.0,50.0,4616.0,1.106,0.361,-0.35,0.745,158054.0
15.0,15.0,30.0,6248.0,1.075,0.361,-0.359,0.714,158054.0
15.0,15.0,40.0,4790.0,1.08,0.361,-0.352,0.719,158054.0
15.0,15.0,50.0,4044.0,1.548,0.361,-0.334,1.187,158054.0
15.0,20.0,30.0,6848.0,0.379,0.361,-0.361,0.018,158054.0
15.0,20.0,40.0,4706.0,0.666,0.361,-0.355,0.305,158054.0
15.0,20.0,50.0,3810.0,1.674,0.361,-0.324,1.313,158054.0
15.0,25.0,30.0,8666.0,0.171,0.361,-0.361,-0.19,158054.0
15.0,25.0,40.0,4898.0,0.423,0.361,-0.358,0.062,158054.0
15.0,25.0,50.0,3786.0,1.373,0.361,-0.33,1.012,158054.0
25.0,10.0,30.0,3924.0,1.213,0.355,-0.331,0.858,94854.0
25.0,10.0,40.0,3162.0,2.271,0.355,-0.259,1.916,94854.0
25.0,10.0,50.0,2660.0,6.383,0.355,0.091,6.028,94854.0
25.0,15.0,30.0,3772.0,0.648,0.355,-0.34,0.293,94854.0
25.0,15.0,40.0,2886.0,3.317,0.355,-0.17,2.962,94854.0
25.0,15.0,50.0,2336.0,6.052,0.355,0.23,5.697,94854.0
25.0,20.0,30.0,4016.0,0.949,0.355,-0.338,0.594,94854.0
25.0,20.0,40.0,2776.0,4.579,0.355,-0.07,4.224,94854.0
25.0,20.0,50.0,2218.0,9.9,0.355,0.722,9.545,94854.0
25.0,25.0,30.0,5136.0,1.554,0.355,-0.346,1.199,94854.0
25.0,25.0,40.0,2892.0,6.891,0.355,0.027,6.536,94854.0
25.0,25.0,50.0,2178.0,9.4,0.355,0.71,9.045,94854.0
35.0,10.0,30.0,2802.0,3.175,0.364,-0.171,2.811,67759.0
35.0,10.0,40.0,2216.0,5.193,0.364,0.202,4.829,67759.0
35.0,10.0,50.0,1930.0,1.462,0.364,-0.152,1.098,67759.0
35.0,15.0,30.0,2676.0,6.285,0.364,0.069,5.921,67759.0
35.0,15.0,40.0,2012.0,6.055,0.364,0.446,5.691,67759.0
35.0,15.0,50.0,1684.0,2.327,0.364,0.068,1.963,67759.0
35.0,20.0,30.0,2862.0,9.906,0.364,0.202,9.542,67759.0
35.0,20.0,40.0,1940.0,13.575,0.364,1.587,13.211,67759.0
35.0,20.0,50.0,1626.0,2.685,0.364,0.164,2.321,67759.0
