freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,5.0,20.0,5.0,92212.0,0.005,4.739,-4.739,-4.734,546806.0
5.0,5.0,20.0,10.0,71128.0,0.055,4.739,-4.739,-4.684,546806.0
5.0,5.0,20.0,15.0,62362.0,0.126,4.739,-4.739,-4.613,546806.0
5.0,5.0,20.0,20.0,57902.0,0.071,4.739,-4.739,-4.668,546806.0
5.0,5.0,20.0,25.0,54828.0,0.075,4.739,-4.739,-4.664,546806.0
5.0,5.0,20.0,30.0,52580.0,0.083,4.739,-4.739,-4.656,546806.0
5.0,5.0,20.0,35.0,50846.0,0.146,4.739,-4.739,-4.593,546806.0
5.0,5.0,30.0,5.0,87510.0,0.006,4.739,-4.739,-4.733,546806.0
5.0,5.0,30.0,10.0,65916.0,0.055,4.739,-4.739,-4.684,546806.0
5.0,5.0,30.0,15.0,57288.0,0.056,4.739,-4.739,-4.683,546806.0
5.0,5.0,30.0,20.0,52140.0,0.101,4.739,-4.739,-4.638,546806.0
5.0,5.0,30.0,25.0,48634.0,0.202,4.739,-4.739,-4.537,546806.0
5.0,5.0,30.0,30.0,46356.0,0.152,4.739,-4.739,-4.587,546806.0
5.0,5.0,30.0,35.0,44536.0,0.178,4.739,-4.739,-4.561,546806.0
5.0,5.0,40.0,5.0,85182.0,0.003,4.739,-4.739,-4.736,546806.0
5.0,5.0,40.0,10.0,63460.0,0.025,4.739,-4.739,-4.714,546806.0
5.0,5.0,40.0,15.0,54446.0,0.054,4.739,-4.739,-4.685,546806.0
5.0,5.0,40.0,20.0,49140.0,0.092,4.739,-4.739,-4.647,546806.0
5.0,5.0,40.0,25.0,45466.0,0.178,4.739,-4.739,-4.561,546806.0
5.0,5.0,40.0,30.0,42756.0,0.157,4.739,-4.739,-4.582,546806.0
5.0,5.0,40.0,35.0,41044.0,0.114,4.739,-4.739,-4.625,546806.0
5.0,5.0,50.0,5.0,83946.0,0.003,4.739,-4.739,-4.736,546806.0
5.0,5.0,50.0,10.0,62162.0,0.016,4.739,-4.739,-4.723,546806.0
5.0,5.0,50.0,15.0,52764.0,0.036,4.739,-4.739,-4.703,546806.0
5.0,5.0,50.0,20.0,47128.0,0.134,4.739,-4.739,-4.605,546806.0
5.0,5.0,50.0,25.0,43286.0,0.14,4.739,-4.739,-4.599,546806.0
5.0,5.0,50.0,30.0,40802.0,0.102,4.739,-4.739,-4.637,546806.0
5.0,5.0,50.0,35.0,39042.0,0.093,4.739,-4.739,-4.646,546806.0
5.0,10.0,20.0,5.0,66990.0,0.094,4.739,-4.739,-4.645,546806.0
5.0,10.0,20.0,10.0,51028.0,0.55,4.739,-4.739,-4.189,546806.0
5.0,10.0,20.0,15.0,44434.0,0.659,4.739,-4.739,-4.08,546806.0
5.0,10.0,20.0,20.0,40756.0,0.935,4.739,-4.739,-3.804,546806.0
5.0,10.0,20.0,25.0,38306.0,1.178,4.739,-4.739,-3.561,546806.0
5.0,10.0,20.0,30.0,36608.0,0.998,4.739,-4.739,-3.741,546806.0
5.0,10.0,20.0,35.0,35220.0,0.903,4.739,-4.739,-3.836,546806.0
5.0,10.0,30.0,5.0,62106.0,0.081,4.739,-4.739,-4.658,546806.0
5.0,10.0,30.0,10.0,46730.0,0.354,4.739,-4.739,-4.385,546806.0
5.0,10.0,30.0,15.0,39968.0,1.314,4.739,-4.739,-3.425,546806.0
5.0,10.0,30.0,20.0,36276.0,0.874,4.739,-4.739,-3.865,546806.0
5.0,10.0,30.0,25.0,33660.0,1.124,4.739,-4.739,-3.615,546806.0
5.0,10.0,30.0,30.0,31674.0,1.46,4.739,-4.739,-3.279,546806.0
5.0,10.0,30.0,35.0,30432.0,1.149,4.739,-4.739,-3.59,546806.0
5.0,10.0,40.0,5.0,59996.0,0.04,4.739,-4.739,-4.699,546806.0
5.0,10.0,40.0,10.0,44312.0,0.391,4.739,-4.739,-4.348,546806.0
5.0,10.0,40.0,15.0,37502.0,0.822,4.739,-4.739,-3.917,546806.0
5.0,10.0,40.0,20.0,33614.0,0.702,4.739,-4.739,-4.037,546806.0
5.0,10.0,40.0,25.0,31048.0,1.241,4.739,-4.739,-3.498,546806.0
5.0,10.0,40.0,30.0,29196.0,1.091,4.739,-4.739,-3.648,546806.0
5.0,10.0,40.0,35.0,27816.0,1.136,4.739,-4.739,-3.603,546806.0
5.0,10.0,50.0,5.0,58718.0,0.02,4.739,-4.739,-4.719,546806.0
5.0,10.0,50.0,10.0,42758.0,0.38,4.739,-4.739,-4.359,546806.0
5.0,10.0,50.0,15.0,35982.0,0.661,4.739,-4.739,-4.078,546806.0
5.0,10.0,50.0,20.0,32064.0,0.838,4.739,-4.739,-3.901,546806.0
5.0,10.0,50.0,25.0,29476.0,0.996,4.739,-4.739,-3.743,546806.0
5.0,10.0,50.0,30.0,27620.0,0.868,4.739,-4.739,-3.871,546806.0
5.0,10.0,50.0,35.0,26296.0,0.676,4.739,-4.739,-4.063,546806.0
5.0,15.0,30.0,5.0,53046.0,0.099,4.739,-4.739,-4.64,546806.0
5.0,15.0,30.0,10.0,39202.0,1.22,4.739,-4.739,-3.519,546806.0
5.0,15.0,30.0,15.0,33600.0,1.616,4.739,-4.739,-3.123,546806.0
5.0,15.0,30.0,20.0,30000.0,2.416,4.739,-4.739,-2.323,546806.0
5.0,15.0,30.0,25.0,27732.0,4.273,4.739,-4.739,-0.466,546806.0
5.0,15.0,30.0,30.0,26064.0,2.611,4.739,-4.739,-2.128,546806.0
5.0,15.0,30.0,35.0,24980.0,2.353,4.739,-4.739,-2.386,546806.0
5.0,15.0,40.0,5.0,50336.0,0.144,4.739,-4.739,-4.595,546806.0
5.0,15.0,40.0,10.0,36852.0,0.792,4.739,-4.739,-3.947,546806.0
5.0,15.0,40.0,15.0,31112.0,1.7,4.739,-4.739,-3.039,546806.0
5.0,15.0,40.0,20.0,27674.0,2.737,4.739,-4.739,-2.002,546806.0
5.0,15.0,40.0,25.0,25488.0,2.035,4.739,-4.739,-2.704,546806.0
5.0,15.0,40.0,30.0,24030.0,1.461,4.739,-4.739,-3.278,546806.0
5.0,15.0,40.0,35.0,22932.0,1.342,4.739,-4.739,-3.397,546806.0
5.0,15.0,50.0,5.0,48668.0,0.111,4.739,-4.739,-4.628,546806.0
5.0,15.0,50.0,10.0,35320.0,0.591,4.739,-4.739,-4.148,546806.0
5.0,15.0,50.0,15.0,29668.0,1.574,4.739,-4.739,-3.165,546806.0
5.0,15.0,50.0,20.0,26318.0,1.573,4.739,-4.739,-3.166,546806.0
5.0,15.0,50.0,25.0,24220.0,1.345,4.739,-4.739,-3.394,546806.0
5.0,15.0,50.0,30.0,22784.0,1.012,4.739,-4.739,-3.727,546806.0
5.0,15.0,50.0,35.0,21662.0,0.699,4.739,-4.739,-4.04,546806.0
5.0,20.0,30.0,5.0,47770.0,0.25,4.739,-4.739,-4.489,546806.0
5.0,20.0,30.0,10.0,35322.0,1.156,4.739,-4.739,-3.583,546806.0
5.0,20.0,30.0,15.0,29740.0,2.543,4.739,-4.739,-2.196,546806.0
5.0,20.0,30.0,20.0,26550.0,4.278,4.739,-4.739,-0.461,546806.0
5.0,20.0,30.0,25.0,24588.0,2.717,4.739,-4.739,-2.022,546806.0
5.0,20.0,30.0,30.0,23278.0,1.987,4.739,-4.739,-2.752,546806.0
5.0,20.0,30.0,35.0,22184.0,1.295,4.739,-4.739,-3.444,546806.0
5.0,20.0,40.0,5.0,44814.0,0.269,4.739,-4.739,-4.47,546806.0
5.0,20.0,40.0,10.0,32660.0,1.113,4.739,-4.739,-3.626,546806.0
5.0,20.0,40.0,15.0,27386.0,2.905,4.739,-4.739,-1.834,546806.0
5.0,20.0,40.0,20.0,24494.0,2.483,4.739,-4.739,-2.256,546806.0
5.0,20.0,40.0,25.0,22678.0,1.343,4.739,-4.739,-3.396,546806.0
5.0,20.0,40.0,30.0,21402.0,1.02,4.739,-4.739,-3.719,546806.0
5.0,20.0,40.0,35.0,20204.0,0.839,4.739,-4.739,-3.9,546806.0
5.0,20.0,50.0,5.0,43154.0,0.211,4.739,-4.739,-4.528,546806.0
5.0,20.0,50.0,10.0,31240.0,1.016,4.739,-4.739,-3.723,546806.0
5.0,20.0,50.0,15.0,26058.0,1.867,4.739,-4.739,-2.872,546806.0
5.0,20.0,50.0,20.0,23296.0,1.379,4.739,-4.739,-3.36,546806.0
5.0,20.0,50.0,25.0,21390.0,0.847,4.739,-4.739,-3.892,546806.0
5.0,20.0,50.0,30.0,19934.0,0.965,4.739,-4.739,-3.774,546806.0
5.0,20.0,50.0,35.0,18942.0,0.582,4.739,-4.739,-4.157,546806.0
5.0,25.0,40.0,5.0,41210.0,0.439,4.739,-4.739,-4.3,546806.0
5.0,25.0,40.0,10.0,30062.0,1.677,4.739,-4.739,-3.062,546806.0
5.0,25.0,40.0,15.0,25122.0,2.251,4.739,-4.739,-2.488,546806.0
5.0,25.0,40.0,20.0,22548.0,1.483,4.739,-4.739,-3.256,546806.0
5.0,25.0,40.0,25.0,20860.0,1.012,4.739,-4.739,-3.727,546806.0
5.0,25.0,40.0,30.0,19382.0,1.089,4.739,-4.739,-3.65,546806.0
5.0,25.0,40.0,35.0,18394.0,0.706,4.739,-4.739,-4.033,546806.0
5.0,25.0,50.0,5.0,39414.0,0.206,4.739,-4.739,-4.533,546806.0
5.0,25.0,50.0,10.0,28564.0,1.07,4.739,-4.739,-3.669,546806.0
5.0,25.0,50.0,15.0,23914.0,1.265,4.739,-4.739,-3.474,546806.0
5.0,25.0,50.0,20.0,21326.0,0.806,4.739,-4.739,-3.933,546806.0
5.0,25.0,50.0,25.0,19396.0,0.925,4.739,-4.739,-3.814,546806.0
5.0,25.0,50.0,30.0,18156.0,0.513,4.739,-4.739,-4.226,546806.0
5.0,25.0,50.0,35.0,17176.0,0.519,4.739,-4.739,-4.22,546806.0
15.0,5.0,20.0,5.0,30230.0,1.262,4.686,-4.686,-3.424,182273.0
15.0,5.0,20.0,10.0,23156.0,0.771,4.686,-4.686,-3.915,182273.0
15.0,5.0,20.0,15.0,20212.0,0.452,4.686,-4.686,-4.234,182273.0
15.0,5.0,20.0,20.0,18626.0,0.208,4.686,-4.686,-4.478,182273.0
15.0,5.0,20.0,25.0,17654.0,0.123,4.686,-4.686,-4.563,182273.0
15.0,5.0,20.0,30.0,17110.0,0.126,4.686,-4.686,-4.56,182273.0
15.0,5.0,20.0,35.0,16626.0,0.118,4.686,-4.686,-4.568,182273.0
15.0,5.0,30.0,5.0,28702.0,0.404,4.686,-4.686,-4.282,182273.0
15.0,5.0,30.0,10.0,21446.0,0.334,4.686,-4.686,-4.352,182273.0
15.0,5.0,30.0,15.0,18486.0,0.114,4.686,-4.686,-4.572,182273.0
15.0,5.0,30.0,20.0,16946.0,0.112,4.686,-4.686,-4.574,182273.0
15.0,5.0,30.0,25.0,15914.0,0.125,4.686,-4.686,-4.561,182273.0
15.0,5.0,30.0,30.0,15116.0,0.064,4.686,-4.686,-4.622,182273.0
15.0,5.0,30.0,35.0,14506.0,0.073,4.686,-4.686,-4.613,182273.0
15.0,5.0,40.0,5.0,28126.0,0.141,4.686,-4.686,-4.545,182273.0
15.0,5.0,40.0,10.0,20734.0,0.079,4.686,-4.686,-4.607,182273.0
15.0,5.0,40.0,15.0,17726.0,0.07,4.686,-4.686,-4.616,182273.0
15.0,5.0,40.0,20.0,15986.0,0.095,4.686,-4.686,-4.591,182273.0
15.0,5.0,40.0,25.0,14818.0,0.076,4.686,-4.686,-4.61,182273.0
15.0,5.0,40.0,30.0,14016.0,0.044,4.686,-4.686,-4.642,182273.0
15.0,5.0,40.0,35.0,13412.0,0.045,4.686,-4.686,-4.641,182273.0
15.0,5.0,50.0,5.0,27770.0,0.102,4.686,-4.686,-4.584,182273.0
15.0,5.0,50.0,10.0,20288.0,0.063,4.686,-4.686,-4.623,182273.0
15.0,5.0,50.0,15.0,17254.0,0.1,4.686,-4.686,-4.586,182273.0
15.0,5.0,50.0,20.0,15318.0,0.065,4.686,-4.686,-4.621,182273.0
15.0,5.0,50.0,25.0,14234.0,0.048,4.686,-4.686,-4.638,182273.0
15.0,5.0,50.0,30.0,13360.0,0.048,4.686,-4.686,-4.638,182273.0
