freq,periods,rsi_lower,rsi_upper,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,5.0,15.0,60.0,50978.0,7113.36,4.739,-4.739,7108.621,546806.0
5.0,5.0,15.0,65.0,50978.0,7113.36,4.739,-4.739,7108.621,546806.0
5.0,5.0,15.0,70.0,50978.0,7113.36,4.739,-4.739,7108.621,546806.0
5.0,5.0,15.0,75.0,50978.0,7113.36,4.739,-4.739,7108.621,546806.0
5.0,5.0,15.0,80.0,50978.0,7113.36,4.739,-4.739,7108.621,546806.0
5.0,5.0,20.0,60.0,66116.0,23889.879,4.739,-4.739,23885.14,546806.0
5.0,5.0,20.0,65.0,66116.0,23889.879,4.739,-4.739,23885.14,546806.0
5.0,5.0,20.0,70.0,66116.0,23889.879,4.739,-4.739,23885.14,546806.0
5.0,5.0,20.0,75.0,66116.0,23889.879,4.739,-4.739,23885.14,546806.0
5.0,5.0,20.0,80.0,66116.0,23889.879,4.739,-4.739,23885.14,546806.0
5.0,5.0,25.0,60.0,81284.0,34182.492,4.739,-4.739,34177.753,546806.0
5.0,5.0,25.0,65.0,81284.0,34182.492,4.739,-4.739,34177.753,546806.0
5.0,5.0,25.0,70.0,81284.0,34182.492,4.739,-4.739,34177.753,546806.0
5.0,5.0,25.0,75.0,81284.0,34182.492,4.739,-4.739,34177.753,546806.0
5.0,5.0,25.0,80.0,81284.0,34182.492,4.739,-4.739,34177.753,546806.0
10.0,10.0,15.0,60.0,5292.0,11.795,4.739,-4.68,7.056,273410.0
10.0,10.0,15.0,65.0,5292.0,11.795,4.739,-4.68,7.056,273410.0
10.0,10.0,15.0,70.0,5292.0,11.795,4.739,-4.68,7.056,273410.0
10.0,10.0,15.0,75.0,5292.0,11.795,4.739,-4.68,7.056,273410.0
10.0,10.0,15.0,80.0,5292.0,11.795,4.739,-4.68,7.056,273410.0
10.0,10.0,20.0,60.0,9876.0,23.146,4.739,-4.738,18.407,273410.0
10.0,10.0,20.0,65.0,9876.0,23.146,4.739,-4.738,18.407,273410.0
10.0,10.0,20.0,70.0,9876.0,23.146,4.739,-4.738,18.407,273410.0
10.0,10.0,20.0,75.0,9876.0,23.146,4.739,-4.738,18.407,273410.0
10.0,10.0,20.0,80.0,9876.0,23.146,4.739,-4.738,18.407,273410.0
10.0,10.0,25.0,60.0,16030.0,39.319,4.739,-4.739,34.58,273410.0
10.0,10.0,25.0,65.0,16030.0,39.319,4.739,-4.739,34.58,273410.0
10.0,10.0,25.0,70.0,16030.0,39.319,4.739,-4.739,34.58,273410.0
10.0,10.0,25.0,75.0,16030.0,39.319,4.739,-4.739,34.58,273410.0
10.0,10.0,25.0,80.0,16030.0,39.319,4.739,-4.739,34.58,273410.0
15.0,15.0,15.0,60.0,1026.0,1.483,4.686,-4.155,-3.203,182273.0
15.0,15.0,15.0,65.0,1026.0,1.483,4.686,-4.155,-3.203,182273.0
15.0,15.0,15.0,70.0,1026.0,1.483,4.686,-4.155,-3.203,182273.0
15.0,15.0,15.0,75.0,1026.0,1.483,4.686,-4.155,-3.203,182273.0
15.0,15.0,15.0,80.0,1026.0,1.483,4.686,-4.155,-3.203,182273.0
15.0,15.0,20.0,60.0,2478.0,3.902,4.686,-4.359,-0.784,182273.0
15.0,15.0,20.0,65.0,2478.0,3.902,4.686,-4.359,-0.784,182273.0
15.0,15.0,20.0,70.0,2478.0,3.902,4.686,-4.359,-0.784,182273.0
15.0,15.0,20.0,75.0,2478.0,3.902,4.686,-4.359,-0.784,182273.0
15.0,15.0,20.0,80.0,2478.0,3.902,4.686,-4.359,-0.784,182273.0
15.0,15.0,25.0,60.0,4916.0,7.862,4.686,-4.628,3.176,182273.0
15.0,15.0,25.0,65.0,4916.0,7.862,4.686,-4.628,3.176,182273.0
15.0,15.0,25.0,70.0,4916.0,7.862,4.686,-4.628,3.176,182273.0
15.0,15.0,25.0,75.0,4916.0,7.862,4.686,-4.628,3.176,182273.0
15.0,15.0,25.0,80.0,4916.0,7.862,4.686,-4.628,3.176,182273.0
20.0,20.0,15.0,60.0,312.0,1.521,4.687,-3.574,-3.166,136715.0
20.0,20.0,15.0,65.0,312.0,1.521,4.687,-3.574,-3.166,136715.0
20.0,20.0,15.0,70.0,312.0,1.521,4.687,-3.574,-3.166,136715.0
20.0,20.0,15.0,75.0,312.0,1.521,4.687,-3.574,-3.166,136715.0
20.0,20.0,15.0,80.0,312.0,1.521,4.687,-3.574,-3.166,136715.0
20.0,20.0,20.0,60.0,894.0,1.422,4.687,-4.105,-3.265,136715.0
20.0,20.0,20.0,65.0,894.0,1.422,4.687,-4.105,-3.265,136715.0
20.0,20.0,20.0,70.0,894.0,1.422,4.687,-4.105,-3.265,136715.0
20.0,20.0,20.0,75.0,894.0,1.422,4.687,-4.105,-3.265,136715.0
20.0,20.0,20.0,80.0,894.0,1.422,4.687,-4.105,-3.265,136715.0
20.0,20.0,25.0,60.0,2132.0,5.287,4.687,-4.06,0.6,136715.0
20.0,20.0,25.0,65.0,2132.0,5.287,4.687,-4.06,0.6,136715.0
20.0,20.0,25.0,70.0,2132.0,5.287,4.687,-4.06,0.6,136715.0
20.0,20.0,25.0,75.0,2132.0,5.287,4.687,-4.06,0.6,136715.0
20.0,20.0,25.0,80.0,2132.0,5.287,4.687,-4.06,0.6,136715.0
25.0,25.0,15.0,60.0,126.0,1.232,4.692,-3.605,-3.46,109389.0
25.0,25.0,15.0,65.0,126.0,1.232,4.692,-3.605,-3.46,109389.0
25.0,25.0,15.0,70.0,126.0,1.232,4.692,-3.605,-3.46,109389.0
25.0,25.0,15.0,75.0,126.0,1.232,4.692,-3.605,-3.46,109389.0
25.0,25.0,15.0,80.0,126.0,1.232,4.692,-3.605,-3.46,109389.0
25.0,25.0,20.0,60.0,370.0,1.331,4.692,-3.773,-3.361,109389.0
25.0,25.0,20.0,65.0,370.0,1.331,4.692,-3.773,-3.361,109389.0
25.0,25.0,20.0,70.0,370.0,1.331,4.692,-3.773,-3.361,109389.0
25.0,25.0,20.0,75.0,370.0,1.331,4.692,-3.773,-3.361,109389.0
25.0,25.0,20.0,80.0,370.0,1.331,4.692,-3.773,-3.361,109389.0
25.0,25.0,25.0,60.0,1022.0,1.391,4.692,-4.192,-3.301,109389.0
25.0,25.0,25.0,65.0,1022.0,1.391,4.692,-4.192,-3.301,109389.0
25.0,25.0,25.0,70.0,1022.0,1.391,4.692,-4.192,-3.301,109389.0
25.0,25.0,25.0,75.0,1022.0,1.391,4.692,-4.192,-3.301,109389.0
25.0,25.0,25.0,80.0,1022.0,1.391,4.692,-4.192,-3.301,109389.0
