freq,EMA_S,EMA_L,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,21580.0,0.003,0.247,-0.247,-0.244,513220.0
5.0,10.0,40.0,18520.0,0.005,0.247,-0.247,-0.242,513220.0
5.0,10.0,50.0,16474.0,0.004,0.247,-0.247,-0.243,513220.0
5.0,15.0,30.0,17312.0,0.004,0.247,-0.247,-0.243,513220.0
5.0,15.0,40.0,14922.0,0.005,0.247,-0.247,-0.242,513220.0
5.0,15.0,50.0,13238.0,0.012,0.247,-0.247,-0.235,513220.0
15.0,10.0,30.0,6971.0,0.062,0.246,-0.246,-0.184,171077.0
15.0,10.0,40.0,5777.0,0.165,0.246,-0.245,-0.081,171077.0
15.0,10.0,50.0,5145.0,0.136,0.246,-0.245,-0.11,171077.0
15.0,15.0,30.0,5513.0,0.179,0.246,-0.245,-0.067,171077.0
15.0,15.0,40.0,4645.0,0.276,0.246,-0.243,0.03,171077.0
15.0,15.0,50.0,4217.0,0.17,0.246,-0.243,-0.076,171077.0
25.0,10.0,30.0,4079.0,0.213,0.246,-0.242,-0.033,102669.0
25.0,10.0,40.0,3525.0,0.21,0.246,-0.24,-0.036,102669.0
25.0,10.0,50.0,3089.0,0.28,0.246,-0.233,0.034,102669.0
25.0,15.0,30.0,3235.0,0.382,0.246,-0.231,0.136,102669.0
25.0,15.0,40.0,2799.0,0.285,0.246,-0.229,0.039,102669.0
25.0,15.0,50.0,2479.0,0.25,0.246,-0.225,0.004,102669.0
35.0,10.0,30.0,2873.0,0.176,0.247,-0.237,-0.071,73345.0
35.0,10.0,40.0,2431.0,0.367,0.247,-0.215,0.12,73345.0
35.0,10.0,50.0,2137.0,0.47,0.247,-0.192,0.223,73345.0
35.0,15.0,30.0,2311.0,0.306,0.247,-0.217,0.059,73345.0
35.0,15.0,40.0,1973.0,0.324,0.247,-0.202,0.077,73345.0
35.0,15.0,50.0,1725.0,0.686,0.247,-0.125,0.439,73345.0
45.0,10.0,30.0,2247.0,0.233,0.243,-0.218,-0.01,57044.0
45.0,10.0,40.0,1869.0,0.473,0.243,-0.17,0.23,57044.0
45.0,10.0,50.0,1679.0,1.039,0.243,-0.049,0.796,57044.0
45.0,15.0,30.0,1789.0,0.432,0.243,-0.171,0.189,57044.0
45.0,15.0,40.0,1495.0,1.28,0.243,0.044,1.037,57044.0
45.0,15.0,50.0,1335.0,1.787,0.243,0.227,1.544,57044.0
55.0,10.0,30.0,1765.0,1.028,0.251,-0.075,0.777,46687.0
55.0,10.0,40.0,1527.0,1.532,0.251,0.082,1.281,46687.0
55.0,10.0,50.0,1299.0,2.568,0.251,0.449,2.317,46687.0
55.0,15.0,30.0,1443.0,1.807,0.251,0.176,1.556,46687.0
55.0,15.0,40.0,1223.0,2.412,0.251,0.459,2.161,46687.0
55.0,15.0,50.0,1077.0,1.229,0.251,0.168,0.978,46687.0
65.0,10.0,30.0,1481.0,1.263,0.236,0.051,1.027,39510.0
65.0,10.0,40.0,1255.0,2.123,0.236,0.369,1.887,39510.0
65.0,10.0,50.0,1129.0,1.121,0.236,0.126,0.885,39510.0
65.0,15.0,30.0,1201.0,1.747,0.236,0.29,1.511,39510.0
65.0,15.0,40.0,1007.0,1.632,0.236,0.36,1.396,39510.0
65.0,15.0,50.0,901.0,1.053,0.236,0.192,0.817,39510.0
75.0,10.0,30.0,1277.0,2.197,0.233,0.38,1.964,34238.0
75.0,10.0,40.0,1107.0,1.009,0.233,0.101,0.776,34238.0
75.0,10.0,50.0,987.0,0.856,0.233,0.086,0.623,34238.0
75.0,15.0,30.0,1053.0,1.099,0.233,0.15,0.866,34238.0
75.0,15.0,40.0,883.0,1.701,0.233,0.471,1.468,34238.0
