freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,5.0,20.0,5.0,85857.0,0.043,0.236,-0.236,-0.193,513219.0
5.0,5.0,20.0,10.0,66319.0,0.139,0.236,-0.236,-0.097,513219.0
5.0,5.0,20.0,15.0,58127.0,0.13,0.236,-0.236,-0.106,513219.0
5.0,5.0,20.0,20.0,53617.0,0.108,0.236,-0.236,-0.128,513219.0
5.0,5.0,20.0,25.0,50923.0,0.044,0.236,-0.236,-0.192,513219.0
5.0,5.0,20.0,30.0,48815.0,0.047,0.236,-0.236,-0.189,513219.0
5.0,5.0,20.0,35.0,47261.0,0.025,0.236,-0.236,-0.211,513219.0
5.0,5.0,30.0,5.0,81699.0,0.017,0.236,-0.236,-0.219,513219.0
5.0,5.0,30.0,10.0,61473.0,0.093,0.236,-0.236,-0.143,513219.0
5.0,5.0,30.0,15.0,53119.0,0.083,0.236,-0.236,-0.153,513219.0
5.0,5.0,30.0,20.0,48393.0,0.044,0.236,-0.236,-0.192,513219.0
5.0,5.0,30.0,25.0,45249.0,0.033,0.236,-0.236,-0.203,513219.0
5.0,5.0,30.0,30.0,42975.0,0.022,0.236,-0.236,-0.214,513219.0
5.0,5.0,30.0,35.0,41459.0,0.015,0.236,-0.236,-0.221,513219.0
5.0,5.0,40.0,5.0,79399.0,0.009,0.236,-0.236,-0.227,513219.0
5.0,5.0,40.0,10.0,58855.0,0.051,0.236,-0.236,-0.185,513219.0
5.0,5.0,40.0,15.0,50521.0,0.023,0.236,-0.236,-0.213,513219.0
5.0,5.0,40.0,20.0,45411.0,0.027,0.236,-0.236,-0.209,513219.0
5.0,5.0,40.0,25.0,42279.0,0.014,0.236,-0.236,-0.222,513219.0
5.0,5.0,40.0,30.0,39937.0,0.013,0.236,-0.236,-0.223,513219.0
5.0,5.0,40.0,35.0,38121.0,0.013,0.236,-0.236,-0.223,513219.0
5.0,5.0,50.0,5.0,78241.0,0.007,0.236,-0.236,-0.229,513219.0
5.0,5.0,50.0,10.0,57689.0,0.027,0.236,-0.236,-0.209,513219.0
5.0,5.0,50.0,15.0,48971.0,0.014,0.236,-0.236,-0.222,513219.0
5.0,5.0,50.0,20.0,43855.0,0.01,0.236,-0.236,-0.226,513219.0
5.0,5.0,50.0,25.0,40403.0,0.011,0.236,-0.236,-0.225,513219.0
5.0,5.0,50.0,30.0,37981.0,0.008,0.236,-0.236,-0.228,513219.0
5.0,5.0,50.0,35.0,36298.0,0.011,0.236,-0.236,-0.225,513219.0
5.0,10.0,20.0,5.0,62645.0,0.249,0.236,-0.236,0.013,513219.0
5.0,10.0,20.0,10.0,47643.0,0.088,0.236,-0.236,-0.148,513219.0
5.0,10.0,20.0,15.0,41523.0,0.15,0.236,-0.236,-0.086,513219.0
5.0,10.0,20.0,20.0,38033.0,0.084,0.236,-0.236,-0.152,513219.0
5.0,10.0,20.0,25.0,35681.0,0.075,0.236,-0.236,-0.161,513219.0
5.0,10.0,20.0,30.0,34073.0,0.058,0.236,-0.236,-0.178,513219.0
5.0,10.0,20.0,35.0,32671.0,0.106,0.236,-0.236,-0.13,513219.0
5.0,10.0,30.0,5.0,57891.0,0.164,0.236,-0.236,-0.072,513219.0
5.0,10.0,30.0,10.0,43491.0,0.062,0.236,-0.236,-0.174,513219.0
5.0,10.0,30.0,15.0,37307.0,0.071,0.236,-0.236,-0.165,513219.0
5.0,10.0,30.0,20.0,33771.0,0.058,0.236,-0.236,-0.178,513219.0
5.0,10.0,30.0,25.0,31187.0,0.13,0.236,-0.236,-0.106,513219.0
5.0,10.0,30.0,30.0,29595.0,0.119,0.236,-0.236,-0.117,513219.0
5.0,10.0,30.0,35.0,28359.0,0.088,0.236,-0.236,-0.148,513219.0
5.0,10.0,40.0,5.0,55445.0,0.089,0.236,-0.236,-0.147,513219.0
5.0,10.0,40.0,10.0,41143.0,0.06,0.236,-0.236,-0.176,513219.0
5.0,10.0,40.0,15.0,35003.0,0.038,0.236,-0.236,-0.198,513219.0
5.0,10.0,40.0,20.0,31255.0,0.082,0.236,-0.236,-0.154,513219.0
5.0,10.0,40.0,25.0,28967.0,0.083,0.236,-0.236,-0.153,513219.0
5.0,10.0,40.0,30.0,27417.0,0.067,0.236,-0.236,-0.169,513219.0
5.0,10.0,40.0,35.0,26146.0,0.059,0.236,-0.236,-0.177,513219.0
5.0,10.0,50.0,5.0,54317.0,0.046,0.236,-0.236,-0.19,513219.0
5.0,10.0,50.0,10.0,39921.0,0.033,0.236,-0.236,-0.203,513219.0
5.0,10.0,50.0,15.0,33659.0,0.052,0.236,-0.236,-0.184,513219.0
5.0,10.0,50.0,20.0,29969.0,0.048,0.236,-0.236,-0.188,513219.0
5.0,10.0,50.0,25.0,27753.0,0.047,0.236,-0.236,-0.189,513219.0
5.0,10.0,50.0,30.0,26008.0,0.051,0.236,-0.236,-0.185,513219.0
5.0,10.0,50.0,35.0,24642.0,0.059,0.236,-0.236,-0.177,513219.0
5.0,15.0,30.0,5.0,49211.0,0.074,0.236,-0.236,-0.162,513219.0
5.0,15.0,30.0,10.0,36689.0,0.06,0.236,-0.236,-0.176,513219.0
5.0,15.0,30.0,15.0,31189.0,0.113,0.236,-0.236,-0.123,513219.0
5.0,15.0,30.0,20.0,27991.0,0.099,0.236,-0.236,-0.137,513219.0
5.0,15.0,30.0,25.0,26033.0,0.12,0.236,-0.236,-0.116,513219.0
5.0,15.0,30.0,30.0,24553.0,0.126,0.236,-0.236,-0.11,513219.0
5.0,15.0,30.0,35.0,23478.0,0.097,0.236,-0.236,-0.139,513219.0
5.0,15.0,40.0,5.0,46687.0,0.039,0.236,-0.236,-0.197,513219.0
5.0,15.0,40.0,10.0,34413.0,0.046,0.236,-0.236,-0.19,513219.0
5.0,15.0,40.0,15.0,28959.0,0.133,0.236,-0.236,-0.103,513219.0
5.0,15.0,40.0,20.0,25987.0,0.082,0.236,-0.236,-0.154,513219.0
5.0,15.0,40.0,25.0,23932.0,0.095,0.236,-0.236,-0.141,513219.0
5.0,15.0,40.0,30.0,22546.0,0.109,0.236,-0.236,-0.127,513219.0
5.0,15.0,40.0,35.0,21550.0,0.075,0.236,-0.236,-0.161,513219.0
5.0,15.0,50.0,5.0,45105.0,0.028,0.236,-0.236,-0.208,513219.0
5.0,15.0,50.0,10.0,32975.0,0.073,0.236,-0.236,-0.163,513219.0
5.0,15.0,50.0,15.0,27663.0,0.056,0.236,-0.236,-0.18,513219.0
5.0,15.0,50.0,20.0,24710.0,0.075,0.236,-0.236,-0.161,513219.0
5.0,15.0,50.0,25.0,22682.0,0.116,0.236,-0.236,-0.12,513219.0
5.0,15.0,50.0,30.0,21366.0,0.093,0.236,-0.236,-0.143,513219.0
5.0,15.0,50.0,35.0,20242.0,0.089,0.236,-0.236,-0.147,513219.0
