freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,5.0,20.0,5.0,78683.0,7.133,0.362,-0.362,6.771,474155.0
5.0,5.0,20.0,10.0,60463.0,27.241,0.362,-0.362,26.879,474155.0
5.0,5.0,20.0,15.0,53157.0,13.104,0.362,-0.362,12.742,474155.0
5.0,5.0,20.0,20.0,49229.0,2.488,0.362,-0.362,2.126,474155.0
5.0,5.0,20.0,25.0,46617.0,2.18,0.362,-0.362,1.818,474155.0
5.0,5.0,20.0,30.0,44755.0,1.709,0.362,-0.362,1.347,474155.0
5.0,5.0,20.0,35.0,43287.0,2.019,0.362,-0.362,1.657,474155.0
5.0,5.0,30.0,5.0,74477.0,5.034,0.362,-0.362,4.672,474155.0
5.0,5.0,30.0,10.0,56167.0,7.184,0.362,-0.362,6.822,474155.0
5.0,5.0,30.0,15.0,48603.0,2.569,0.362,-0.362,2.207,474155.0
5.0,5.0,30.0,20.0,44343.0,2.028,0.362,-0.362,1.666,474155.0
5.0,5.0,30.0,25.0,41527.0,1.359,0.362,-0.362,0.997,474155.0
5.0,5.0,30.0,30.0,39671.0,0.722,0.362,-0.362,0.36,474155.0
5.0,5.0,30.0,35.0,38213.0,0.386,0.362,-0.362,0.024,474155.0
5.0,5.0,40.0,5.0,72515.0,3.32,0.362,-0.362,2.958,474155.0
5.0,5.0,40.0,10.0,54017.0,2.232,0.362,-0.362,1.87,474155.0
5.0,5.0,40.0,15.0,46335.0,1.289,0.362,-0.362,0.927,474155.0
5.0,5.0,40.0,20.0,41697.0,1.462,0.362,-0.362,1.1,474155.0
5.0,5.0,40.0,25.0,39067.0,0.411,0.362,-0.362,0.049,474155.0
5.0,5.0,40.0,30.0,37005.0,0.313,0.362,-0.362,-0.049,474155.0
5.0,5.0,40.0,35.0,35283.0,0.612,0.362,-0.362,0.25,474155.0
5.0,5.0,50.0,5.0,71381.0,2.643,0.362,-0.362,2.281,474155.0
5.0,5.0,50.0,10.0,52837.0,1.546,0.362,-0.362,1.184,474155.0
5.0,5.0,50.0,15.0,44817.0,1.166,0.362,-0.362,0.804,474155.0
5.0,5.0,50.0,20.0,40299.0,0.582,0.362,-0.362,0.22,474155.0
5.0,5.0,50.0,25.0,37371.0,0.383,0.362,-0.362,0.021,474155.0
5.0,5.0,50.0,30.0,35189.0,0.456,0.362,-0.362,0.094,474155.0
5.0,5.0,50.0,35.0,33530.0,0.417,0.362,-0.362,0.055,474155.0
5.0,10.0,20.0,5.0,57123.0,18.176,0.362,-0.362,17.814,474155.0
5.0,10.0,20.0,10.0,43785.0,7.09,0.362,-0.362,6.728,474155.0
5.0,10.0,20.0,15.0,38089.0,5.367,0.362,-0.362,5.005,474155.0
5.0,10.0,20.0,20.0,34983.0,2.777,0.362,-0.362,2.415,474155.0
5.0,10.0,20.0,25.0,33049.0,3.759,0.362,-0.362,3.397,474155.0
5.0,10.0,20.0,30.0,31301.0,4.99,0.362,-0.362,4.628,474155.0
5.0,10.0,20.0,35.0,30151.0,2.963,0.362,-0.362,2.601,474155.0
5.0,10.0,30.0,5.0,52951.0,8.185,0.362,-0.362,7.823,474155.0
5.0,10.0,30.0,10.0,39879.0,3.905,0.362,-0.362,3.543,474155.0
5.0,10.0,30.0,15.0,34409.0,2.193,0.362,-0.362,1.831,474155.0
5.0,10.0,30.0,20.0,30993.0,4.313,0.362,-0.362,3.951,474155.0
5.0,10.0,30.0,25.0,28981.0,3.115,0.362,-0.362,2.753,474155.0
5.0,10.0,30.0,30.0,27642.0,1.342,0.362,-0.362,0.98,474155.0
5.0,10.0,30.0,35.0,26408.0,1.294,0.362,-0.362,0.932,474155.0
5.0,10.0,40.0,5.0,50969.0,3.214,0.362,-0.362,2.852,474155.0
5.0,10.0,40.0,10.0,38025.0,1.766,0.362,-0.362,1.404,474155.0
5.0,10.0,40.0,15.0,32399.0,2.68,0.362,-0.362,2.318,474155.0
5.0,10.0,40.0,20.0,28957.0,2.785,0.362,-0.362,2.423,474155.0
5.0,10.0,40.0,25.0,26970.0,1.29,0.362,-0.362,0.928,474155.0
5.0,10.0,40.0,30.0,25476.0,1.011,0.362,-0.362,0.649,474155.0
5.0,10.0,40.0,35.0,24240.0,1.215,0.362,-0.362,0.853,474155.0
5.0,10.0,50.0,5.0,49563.0,3.175,0.362,-0.362,2.813,474155.0
5.0,10.0,50.0,10.0,36867.0,1.262,0.362,-0.362,0.9,474155.0
5.0,10.0,50.0,15.0,31019.0,1.966,0.362,-0.362,1.604,474155.0
5.0,10.0,50.0,20.0,27860.0,0.73,0.362,-0.362,0.368,474155.0
5.0,10.0,50.0,25.0,25652.0,1.103,0.362,-0.362,0.741,474155.0
5.0,10.0,50.0,30.0,24056.0,0.85,0.362,-0.362,0.488,474155.0
5.0,10.0,50.0,35.0,22982.0,0.6,0.362,-0.362,0.238,474155.0
5.0,15.0,30.0,5.0,45077.0,2.99,0.362,-0.362,2.628,474155.0
5.0,15.0,30.0,10.0,33769.0,3.466,0.362,-0.362,3.104,474155.0
5.0,15.0,30.0,15.0,28673.0,4.795,0.362,-0.362,4.433,474155.0
5.0,15.0,30.0,20.0,25978.0,3.14,0.362,-0.362,2.778,474155.0
5.0,15.0,30.0,25.0,24074.0,2.209,0.362,-0.362,1.847,474155.0
5.0,15.0,30.0,30.0,22702.0,2.597,0.362,-0.362,2.235,474155.0
5.0,15.0,30.0,35.0,21848.0,1.479,0.362,-0.362,1.117,474155.0
5.0,15.0,40.0,5.0,43007.0,1.402,0.362,-0.362,1.04,474155.0
5.0,15.0,40.0,10.0,31715.0,3.58,0.362,-0.362,3.218,474155.0
5.0,15.0,40.0,15.0,26880.0,2.095,0.362,-0.362,1.733,474155.0
5.0,15.0,40.0,20.0,24104.0,1.691,0.362,-0.362,1.329,474155.0
5.0,15.0,40.0,25.0,22264.0,1.74,0.362,-0.362,1.378,474155.0
5.0,15.0,40.0,30.0,20990.0,0.856,0.362,-0.362,0.494,474155.0
5.0,15.0,40.0,35.0,20054.0,0.587,0.362,-0.362,0.225,474155.0
5.0,15.0,50.0,5.0,41525.0,1.298,0.362,-0.362,0.936,474155.0
5.0,15.0,50.0,10.0,30415.0,1.964,0.362,-0.362,1.602,474155.0
