freq,periods,rsi_lower,rsi_upper,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,5.0,15.0,60.0,45912.0,360.406,0.362,-0.362,360.044,474155.0
5.0,5.0,15.0,65.0,45912.0,360.406,0.362,-0.362,360.044,474155.0
5.0,5.0,15.0,70.0,45912.0,360.406,0.362,-0.362,360.044,474155.0
5.0,5.0,15.0,75.0,45912.0,360.406,0.362,-0.362,360.044,474155.0
5.0,5.0,15.0,80.0,45912.0,360.406,0.362,-0.362,360.044,474155.0
5.0,5.0,20.0,60.0,58370.0,235.447,0.362,-0.362,235.085,474155.0
5.0,5.0,20.0,65.0,58370.0,235.447,0.362,-0.362,235.085,474155.0
5.0,5.0,20.0,70.0,58370.0,235.447,0.362,-0.362,235.085,474155.0
5.0,5.0,20.0,75.0,58370.0,235.447,0.362,-0.362,235.085,474155.0
5.0,5.0,20.0,80.0,58370.0,235.447,0.362,-0.362,235.085,474155.0
5.0,5.0,25.0,60.0,70898.0,239.854,0.362,-0.362,239.492,474155.0
5.0,5.0,25.0,65.0,70898.0,239.854,0.362,-0.362,239.492,474155.0
5.0,5.0,25.0,70.0,70898.0,239.854,0.362,-0.362,239.492,474155.0
5.0,5.0,25.0,75.0,70898.0,239.854,0.362,-0.362,239.492,474155.0
5.0,5.0,25.0,80.0,70898.0,239.854,0.362,-0.362,239.492,474155.0
10.0,10.0,15.0,60.0,5274.0,10.716,0.361,-0.306,10.355,237080.0
10.0,10.0,15.0,65.0,5274.0,10.716,0.361,-0.306,10.355,237080.0
10.0,10.0,15.0,70.0,5274.0,10.716,0.361,-0.306,10.355,237080.0
10.0,10.0,15.0,75.0,5274.0,10.716,0.361,-0.306,10.355,237080.0
10.0,10.0,15.0,80.0,5274.0,10.716,0.361,-0.306,10.355,237080.0
10.0,10.0,20.0,60.0,9494.0,18.635,0.361,-0.36,18.274,237080.0
10.0,10.0,20.0,65.0,9494.0,18.635,0.361,-0.36,18.274,237080.0
10.0,10.0,20.0,70.0,9494.0,18.635,0.361,-0.36,18.274,237080.0
10.0,10.0,20.0,75.0,9494.0,18.635,0.361,-0.36,18.274,237080.0
10.0,10.0,20.0,80.0,9494.0,18.635,0.361,-0.36,18.274,237080.0
10.0,10.0,25.0,60.0,15038.0,18.6,0.361,-0.361,18.239,237080.0
10.0,10.0,25.0,65.0,15038.0,18.6,0.361,-0.361,18.239,237080.0
10.0,10.0,25.0,70.0,15038.0,18.6,0.361,-0.361,18.239,237080.0
10.0,10.0,25.0,75.0,15038.0,18.6,0.361,-0.361,18.239,237080.0
